time,close,VWAP,Volume,Volume MA,K,D,RSI
2022-12-09T18:55:00+01:00,0.9174,0.923705378,63041,175153.95,20.78595127,18.57616543,39.99814223
2022-12-09T19:00:00+01:00,0.9158,0.923640732,435331,185592.45,18.59888536,18.75223162,34.18900418
2022-12-09T19:05:00+01:00,0.9154,0.923554039,520836,208988.9,9.299442678,16.2280931,32.90245934
2022-12-09T19:10:00+01:00,0.9156,0.923521533,202026,207368.1,3.574988612,10.49110555,34.23502261
2022-12-09T19:15:00+01:00,0.9155,0.923497388,153567,202932.35,6.178184318,6.350871869,33.87279054
2022-12-09T19:20:00+01:00,0.9145,0.923468808,173671,191081.75,6.178184318,5.310452416,30.40791521
2022-12-09T19:25:00+01:00,0.9153,0.923443846,154455,196686.3,19.47961096,10.6119932,36.04417988
2022-12-09T19:30:00+01:00,0.9157,0.923401861,288272,205560.25,41.75516827,22.47098785,38.71674352
2022-12-09T19:35:00+01:00,0.9155,0.923386706,101284,207963.6,64.08282674,41.77253532,37.86474717
2022-12-09T19:40:00+01:00,0.9157,0.92337796,58378,199650.05,73.84110452,59.89303317,39.30317983
2022-12-09T19:45:00+01:00,0.9152,0.923367477,69259,197930.95,71.86531029,69.92974718,36.99725244
2022-12-09T19:50:00+01:00,0.9155,0.923363822,24398,186917,80.43901801,75.38181094,39.29844872
2022-12-09T19:55:00+01:00,0.9151,0.923353436,68871,183422.35,77.89889452,76.73440761,37.34008696
2022-12-09T20:00:00+01:00,0.9141,0.923262923,498065,199495.85,63.73759209,74.02516821,32.92294928
2022-12-09T20:05:00+01:00,0.9133,0.923227291,192619,189010.4,32.8362259,58.15757084,29.87792529
2022-12-09T20:10:00+01:00,0.9129,0.923205637,111323,172877.45,8.741656363,35.10515812,28.46053413
2022-12-09T20:15:00+01:00,0.9144,0.923168821,208437,175784.65,33.33333333,24.9704052,39.962628
2022-12-09T20:20:00+01:00,0.9143,0.923122587,285247,187490.65,65.34507863,35.80668944,39.50659711
2022-12-09T20:25:00+01:00,0.9146,0.923106447,101461,190358.75,98.67841196,65.78560797,41.65754964
2022-12-09T20:30:00+01:00,0.9161,0.923076773,219025,196478.3,98.67841196,87.56730085,51.0327981
2022-12-09T20:35:00+01:00,0.916,0.923066179,79718,197312.15,99.14046653,98.83243015,50.45074961
2022-12-09T20:40:00+01:00,0.9151,0.923057805,59339,178512.55,90.86488939,96.22792262,45.42884274
2022-12-09T20:45:00+01:00,0.9163,0.923045239,95950,157268.25,90.86488939,93.6234151,52.25329578
2022-12-09T20:50:00+01:00,0.916,0.923036791,65619,150447.9,89.33993293,90.35657057,50.55128777
2022-12-09T20:55:00+01:00,0.9166,0.923033912,23279,143933.5,97.61551007,92.60677746,53.79297144
2022-12-09T21:00:00+01:00,0.9154,0.923021567,91894,139844.65,88.85768215,91.93770838,47.13725763
2022-12-09T21:05:00+01:00,0.9148,0.923016899,32060,133724.9,78.61017166,88.36112129,44.19299068
2022-12-09T21:10:00+01:00,0.9147,0.923004382,80762,123349.4,65.33346829,77.6004407,43.70303376
2022-12-09T21:15:00+01:00,0.9149,0.92294347,407682,138669.3,62.54224868,68.82862954,45.01600576
2022-12-09T21:20:00+01:00,0.9141,0.922934825,56294,138565.1,45.1068463,57.66085442,40.9063463
2022-12-09T21:25:00+01:00,0.9141,0.922920323,89756,139589.95,28.31614688,45.32174729,40.9063463
2022-12-09T21:30:00+01:00,0.9134,0.922853368,405999,158670,6.53186108,26.65161809,37.4379526
2022-12-09T21:35:00+01:00,0.9127,0.922825075,157271,163090,3.26593054,12.70464617,34.30548925
2022-12-09T21:40:00+01:00,0.9118,0.922791022,178586,147116.05,2.61E-14,3.26593054,30.74376632
2022-12-09T21:45:00+01:00,0.9124,0.922735573,294162,152193.2,6.947826681,3.40458574,35.54802279
2022-12-09T21:50:00+01:00,0.9121,0.922714181,112190,152236.55,12.04453665,6.330787776,34.26801973
2022-12-09T21:55:00+01:00,0.9122,0.922706192,43772,144003.3,18.3543026,12.44888864,35.10681901
2022-12-09T22:00:00+01:00,0.9115,0.922688687,91711,134326.5,13.26081314,14.55321746,32.0259963
2022-12-09T22:05:00+01:00,0.9145,0.922566445,735903,166048.6,41.49743651,24.37085075,51.62082861
2022-12-09T22:10:00+01:00,0.9131,0.92254246,152579,162726.3,58.09142345,37.6165577,45.08865859
2022-12-09T22:15:00+01:00,0.9136,0.922520256,140418,165761.3,83.20987789,60.93291262,47.63714588
